Name	Genes (tot)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Genes (down)
HALLMARK_TNFA_SIGNALING_VIA_NFKB	68	319.34	0.00158	0.026333	0	0
HALLMARK_HYPOXIA	64	320.89	0.00045	0.0225	0	0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	31	160.95	0.0061599	0.051428	0	0
HALLMARK_MITOTIC_SPINDLE	50	200.87	0.066239	0.15663	0	0
HALLMARK_WNT_BETA_CATENIN_SIGNALING	4	9.574	0.60533	0.70011	0	0
HALLMARK_TGF_BETA_SIGNALING	18	47.301	0.71828	0.7793	0	0
HALLMARK_IL6_JAK_STAT3_SIGNALING	14	35.252	0.73254	0.7793	0	0
HALLMARK_DNA_REPAIR	63	175.99	0.79336	0.82642	0	0
HALLMARK_G2M_CHECKPOINT	83	337.61	0.02145	0.079321	0	0
HALLMARK_APOPTOSIS	50	255.26	0.00115	0.026333	0	0
HALLMARK_NOTCH_SIGNALING	6	34.686	0.063519	0.15663	0	0
HALLMARK_ADIPOGENESIS	77	238.72	0.55748	0.67986	0	0
HALLMARK_ESTROGEN_RESPONSE_EARLY	47	210.96	0.01547	0.064458	0	0
HALLMARK_ESTROGEN_RESPONSE_LATE	63	246.19	0.067829	0.15663	0	0
HALLMARK_ANDROGEN_RESPONSE	35	159.3	0.02542	0.084732	0	0
HALLMARK_MYOGENESIS	38	147.05	0.1277	0.21283	0	0
HALLMARK_PROTEIN_SECRETION	31	91.042	0.61609	0.70011	0	0
HALLMARK_INTERFERON_ALPHA_RESPONSE	21	93.37	0.072739	0.15735	0	0
HALLMARK_INTERFERON_GAMMA_RESPONSE	42	207.03	0.00476	0.051428	0	0
HALLMARK_APICAL_JUNCTION	35	156.69	0.03101	0.096905	0	0
HALLMARK_APICAL_SURFACE	4	20.213	0.14172	0.22144	0	0
HALLMARK_HEDGEHOG_SIGNALING	3	8.8716	0.44472	0.55589	0	0
HALLMARK_COMPLEMENT	39	165.78	0.04816	0.13378	0	0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	60	266.36	0.0093099	0.056777	0	0
HALLMARK_PI3K_AKT_MTOR_SIGNALING	35	145.82	0.068919	0.15663	0	0
HALLMARK_MTORC1_SIGNALING	116	453.05	0.02221	0.079321	0	0
HALLMARK_E2F_TARGETS	97	298.62	0.58908	0.70011	0	0
HALLMARK_MYC_TARGETS_V1	165	542.49	0.34345	0.44032	0	0
HALLMARK_MYC_TARGETS_V2	26	73.995	0.65005	0.72228	0	0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	54	184.79	0.29736	0.40183	0	0
HALLMARK_INFLAMMATORY_RESPONSE	27	96.126	0.27499	0.38698	0	0
HALLMARK_XENOBIOTIC_METABOLISM	60	226.07	0.11433	0.20107	0	0
HALLMARK_FATTY_ACID_METABOLISM	67	251.27	0.10804	0.20007	0	0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	145	480.06	0.32135	0.42282	0	0
HALLMARK_GLYCOLYSIS	69	298.27	0.01022	0.056777	0	0
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	30	156.24	0.0065699	0.051428	0	0
HALLMARK_P53_PATHWAY	68	290.71	0.01319	0.059954	0	0
HALLMARK_UV_RESPONSE_UP	55	210.49	0.10437	0.20007	0	0
HALLMARK_UV_RESPONSE_DN	20	108.21	0.01231	0.059954	0	0
HALLMARK_ANGIOGENESIS	4	5.5849	0.86802	0.86802	0	0
HALLMARK_HEME_METABOLISM	42	181.4	0.03548	0.10435	0	0
HALLMARK_COAGULATION	30	108.07	0.24831	0.36516	0	0
HALLMARK_IL2_STAT5_SIGNALING	39	136.37	0.27863	0.38698	0	0
HALLMARK_BILE_ACID_METABOLISM	14	66.095	0.075529	0.15735	0	0
HALLMARK_PEROXISOME	27	106.92	0.13936	0.22144	0	0
HALLMARK_ALLOGRAFT_REJECTION	31	159.13	0.0071999	0.051428	0	0
HALLMARK_SPERMATOGENESIS	16	35.322	0.86536	0.86802	0	0
HALLMARK_KRAS_SIGNALING_UP	20	74.512	0.23561	0.35698	0	0
HALLMARK_KRAS_SIGNALING_DN	5	26.749	0.10163	0.20007	0	0
HALLMARK_PANCREAS_BETA_CELLS	4	21.514	0.11662	0.20107	0	0
