3' distance,Depth
0,377
1,6356
2,7613
3,8772
4,9486
5,9897
6,10365
7,10969
8,11554
9,11989
10,12536
11,13113
12,14263
13,15130
14,15709
15,16308
16,16891
17,17525
18,18138
19,18996
20,19597
21,20200
22,20859
23,21439
24,22160
25,23075
26,23871
27,24710
28,25411
29,26038
30,26954
31,27773
32,28448
33,30253
34,31157
35,31608
36,32741
37,33883
38,35384
39,36197
40,36825
41,37748
42,38985
43,40449
44,41506
45,42299
46,43476
47,44886
48,45630
49,46252
50,47164
51,48030
52,49258
53,51154
54,53343
55,54550
56,55695
57,58280
58,59556
59,61346
60,62767
61,63795
62,65114
63,67595
64,69442
65,71233
66,72798
67,74759
68,76027
69,77641
70,79126
71,81658
72,83215
73,84388
74,85583
75,87203
76,89302
77,91862
78,95371
79,97310
80,98525
81,99851
82,101275
83,102779
84,104267
85,105195
86,106539
87,107929
88,109497
89,111241
90,113531
91,115376
92,116508
93,117225
94,118819
95,121990
96,123712
97,124900
98,125898
99,127174
100,129810
101,130842
102,131460
103,132270
104,133503
105,134608
106,137620
107,139437
108,141818
109,142734
110,143285
111,144838
112,145860
113,146070
114,146583
115,147737
116,149991
117,150805
118,151025
119,151486
120,153435
121,154426
122,155950
123,157492
124,158399
125,159487
126,161375
127,161136
128,161704
129,164125
130,166052
131,166870
132,167186
133,169183
134,171498
135,173102
136,173450
137,174424
138,176409
139,177590
140,178188
141,180037
142,181748
143,182872
144,183493
145,184466
146,184980
147,184816
148,184206
149,185138
150,186512
151,186236
152,187321
153,188826
154,190240
155,191092
156,191817
157,191250
158,192008
159,192059
160,191811
161,191296
162,192039
163,192751
164,193213
165,192244
166,192465
167,193189
168,193669
169,193801
170,193269
171,192943
172,191186
173,191104
174,191458
175,191908
176,192367
177,192429
178,192018
179,191842
180,191759
181,190847
182,190396
183,189519
184,188319
185,187101
186,186605
187,186299
188,186012
189,183726
190,183573
191,184242
192,184393
193,184068
194,181764
195,181354
196,181163
197,180804
198,180435
199,179949
200,176895
201,175350
202,173392
203,172958
204,172883
205,171340
206,170615
207,170431
208,170153
209,169386
210,167646
211,167243
212,167458
213,167447
214,167263
215,166638
216,166175
217,165313
218,165090
219,164448
220,163401
221,162693
222,162228
223,160660
224,158614
225,157560
226,156451
227,154340
228,151940
229,150146
230,149540
231,147939
232,145943
233,144718
234,143696
235,141105
236,139666
237,138839
238,138003
239,137041
240,136067
241,134903
242,134087
243,132514
244,130699
245,129098
246,127343
247,124596
248,122401
249,121102
250,119629
251,118114
252,115866
253,114353
254,113659
255,112960
256,111404
257,109655
258,108375
259,107524
260,106601
261,105193
262,103804
263,102450
264,101068
265,99209
266,97767
267,96285
268,94889
269,93211
270,91412
271,90140
272,89235
273,88392
274,87076
275,86107
276,84819
277,83819
278,82178
279,81461
280,80900
281,79856
282,78588
283,77932
284,76315
285,74521
286,73339
287,72445
288,72006
289,71276
290,70548
291,70001
292,69058
293,67971
294,67315
295,66381
296,65358
297,64338
298,62500
299,62743
300,63008
301,62343
302,61619
303,60906
304,59845
305,59123
306,58266
307,57077
308,54720
309,53621
310,52034
311,50886
312,49445
313,48270
314,46925
315,46250
316,45417
317,44140
318,43371
319,42608
320,42050
321,41637
322,41315
323,40743
324,39864
325,39161
326,38253
327,37626
328,36871
329,36314
330,35436
331,34603
332,33985
333,33269
334,32577
335,32097
336,31428
337,30878
338,30229
339,29613
340,29033
341,28559
342,28053
343,27510
344,27021
345,26599
346,26336
347,25972
348,25361
349,24730
350,24236
351,23801
352,23132
353,22477
354,21660
355,21181
356,20864
357,20555
358,20089
359,19571
360,18961
361,18381
362,17989
363,17574
364,17247
365,16838
366,16438
367,16086
368,15638
369,15421
370,15213
371,14948
372,14702
373,14278
374,13785
375,13519
376,13229
377,12733
378,12480
379,12289
380,12016
381,11687
382,11318
383,10900
384,10642
385,10286
386,9892
387,9682
388,9338
389,9131
390,8997
391,8785
392,8468
393,8253
394,8030
395,7800
396,7641
397,7481
398,7289
399,7101
400,6833
401,6684
402,6537
403,6392
404,6274
405,6133
406,5992
407,5892
408,5734
409,5574
410,5435
411,5287
412,5179
413,5022
414,4857
415,4637
416,4383
417,4258
418,4182
419,4057
420,3944
421,3847
422,3784
423,3684
